AMZN,ALL,CBOE,COP,CVX,GS,IBKR,JPM,LLY,MET,PGR,SFM,TAC,XOM
12.03,135.18,183.72,65.22,51.44,302.24,6.69,119.15,-61.99,464.25,73.86,59.00,37.23,31.71
141.60,122.84,-2.79,89.41,80.90,346.62,20.29,188.20,204.09,359.75,76.18,76.97,39.09,29.17
81.70,165.07,118.76,99.63,23.99,302.38,11.58,148.17,-438.67,193.22,58.87,89.05,47.87,45.27
26.72,140.20,159.10,55.17,11.25,225.65,15.67,181.15,286.49,116.22,91.56,123.45,77.68,67.91
44.55,319.83,36.53,56.87,52.58,334.30,20.02,156.40,34.96,293.63,56.93,73.97,65.55,59.39
70.65,136.73,72.61,59.50,70.99,298.68,15.10,138.66,-71.53,186.31,69.09,67.86,88.61,27.48
57.82,276.67,109.47,75.34,36.49,287.85,17.38,161.92,127.51,178.90,62.85,109.04,17.39,47.90
253.69,330.50,29.68,82.68,72.35,118.85,15.29,126.14,184.11,218.49,58.42,88.54,31.13,69.04
140.43,213.29,90.17,70.41,70.93,206.13,12.55,243.66,-619.05,119.03,43.66,167.83,37.41,38.79
161.98,104.28,131.60,78.51,45.75,342.71,11.78,180.55,22.72,403.53,68.92,79.52,22.31,54.67
133.79,179.04,102.39,64.72,45.83,544.64,22.36,170.16,-94.83,322.13,56.12,70.41,45.07,43.88
93.09,243.26,60.26,46.14,36.28,244.92,14.19,164.88,-897.21,214.93,60.48,131.16,32.86,70.23
265.11,200.00,25.02,65.40,65.37,452.56,7.66,107.17,46.70,157.13,52.28,96.22,25.40,39.90
86.20,155.64,102.06,27.04,64.93,160.28,13.52,190.86,37.28,144.03,56.97,58.30,15.79,52.90
69.43,144.24,48.70,84.92,61.53,198.06,17.31,154.48,512.04,149.35,56.60,106.71,54.08,50.87
95.38,82.44,166.24,52.67,50.65,297.86,11.35,116.32,75.16,198.19,68.57,68.78,56.64,50.84
89.39,82.44,15.99,44.98,44.36,291.02,10.45,125.04,-255.53,266.17,43.66,76.64,45.71,28.37
41.34,212.35,119.83,69.84,44.64,501.34,6.05,176.17,-299.22,173.52,57.27,64.90,39.41,44.17
46.77,325.28,35.31,52.60,45.78,347.62,4.99,242.73,303.98,307.00,78.71,73.88,25.87,62.04
171.27,127.54,319.43,52.04,60.91,135.23,14.48,175.24,124.45,177.61,61.28,69.70,63.35,40.31
106.92,166.93,89.86,96.90,80.87,335.58,7.75,136.55,-176.65,240.30,67.99,134.37,61.73,63.55
221.37,295.14,61.52,62.60,45.19,253.97,12.26,142.99,-14.09,154.56,69.67,73.27,51.46,28.30
97.39,145.31,56.83,60.01,34.83,467.39,6.31,176.79,22.71,190.59,103.11,154.50,41.76,22.28
123.06,140.67,78.22,50.36,65.51,391.44,6.08,160.57,85.38,169.79,43.66,115.59,65.39,44.69
203.55,202.14,2.50,35.23,34.26,353.13,12.06,107.73,105.98,143.95,58.02,56.56,27.83,32.64
172.42,248.43,36.83,56.06,50.17,389.25,13.92,131.23,-285.29,257.24,67.45,111.39,84.23,34.07
219.55,124.86,137.40,89.37,26.73,200.27,20.38,171.60,733.49,222.83,58.80,88.09,81.98,39.88
37.87,332.92,38.96,36.66,32.87,263.43,13.36,131.70,453.28,364.88,60.72,100.78,35.87,65.40
137.43,169.84,27.73,59.55,66.89,191.82,13.84,148.81,494.12,217.37,79.09,67.34,57.30,47.81
198.38,257.08,52.65,69.59,50.21,351.63,12.98,163.00,242.54,200.70,91.51,60.14,64.03,63.18
159.97,228.05,166.60,43.54,85.18,361.18,12.75,207.78,-77.78,234.38,56.28,129.89,23.05,40.65
107.15,182.93,150.53,46.46,39.11,367.16,10.55,144.00,-159.72,176.86,65.43,84.36,36.99,52.22
30.37,180.91,83.32,56.52,54.65,303.35,15.77,178.09,95.15,241.82,67.72,72.30,97.92,84.32
150.90,198.53,20.89,108.59,34.91,237.38,12.38,189.76,99.82,423.00,78.34,64.51,27.93,42.38
47.79,229.07,82.11,31.08,33.95,268.45,14.08,124.30,10.32,184.14,71.96,92.01,37.37,78.87
20.99,233.29,71.36,100.77,34.73,395.03,24.66,146.42,-11.00,327.32,54.54,85.91,50.84,12.14
181.07,315.39,110.75,41.61,62.74,297.09,12.69,140.07,-42.73,191.06,72.56,125.78,77.60,24.30
55.78,450.56,48.64,57.88,64.32,400.73,13.50,128.77,-81.31,250.34,66.50,72.86,24.89,45.33
67.53,221.87,19.37,57.31,18.98,330.70,12.22,207.61,214.44,153.88,72.58,81.36,42.84,45.81
154.81,196.20,106.85,47.57,51.23,339.07,11.39,120.90,-291.86,249.92,60.63,112.03,41.58,36.72
220.44,82.44,225.79,44.59,26.65,352.17,13.64,133.84,-287.19,164.43,66.41,71.70,24.67,29.28
86.21,122.85,50.13,59.06,62.45,349.78,16.93,176.19,-123.61,303.21,62.59,60.88,32.04,35.26
77.52,82.44,65.61,87.69,39.20,272.23,11.80,150.34,73.57,244.43,43.66,131.37,100.53,55.27
81.48,169.30,72.73,45.05,60.07,207.52,16.96,130.23,-298.01,108.69,69.35,210.93,46.68,56.59
46.49,174.07,181.20,74.32,36.48,322.09,13.78,196.98,121.69,190.75,77.79,69.82,75.43,22.94
68.65,161.18,71.25,92.09,67.52,262.44,13.46,181.88,-11.40,212.04,63.57,116.57,49.40,29.42
76.54,353.71,51.10,141.12,41.40,190.39,15.30,167.77,82.08,167.83,116.32,137.67,30.30,64.07
113.46,133.04,45.87,63.19,90.50,352.38,11.63,169.46,69.10,228.43,59.91,62.53,31.37,50.91
82.42,127.40,60.00,72.65,34.44,333.98,19.27,74.57,-756.17,165.58,43.66,99.68,48.28,34.05
254.25,185.29,129.45,39.78,30.39,474.36,22.78,150.65,249.55,203.42,75.72,94.26,72.18,58.32
114.10,245.08,49.14,83.05,68.18,452.82,13.51,130.86,141.04,137.70,59.71,153.39,45.93,64.09
57.22,157.21,32.55,70.31,18.76,241.69,4.94,150.17,-173.83,185.89,63.77,93.85,60.43,40.55
86.26,145.71,40.48,52.66,67.60,407.90,6.84,155.67,-127.28,173.21,64.75,54.93,49.16,31.50
100.41,251.38,36.08,63.36,58.20,353.86,12.99,177.69,95.89,177.39,43.66,88.69,50.63,57.12
109.81,190.32,53.01,53.04,58.51,358.71,8.34,144.90,-68.10,154.10,73.47,107.73,67.00,65.19
64.72,120.14,84.55,68.48,69.58,305.16,11.76,179.78,-92.50,332.04,65.21,213.52,127.32,22.24
122.32,276.58,58.14,54.45,85.95,331.11,11.47,138.64,-560.44,228.86,60.01,68.83,40.76,24.19
73.35,260.78,18.17,115.61,54.49,329.37,9.49,174.21,34.04,224.91,61.17,79.91,24.14,56.74
87.89,163.25,39.40,41.66,105.21,343.58,15.58,125.30,255.51,164.32,66.06,99.05,46.74,39.47
98.17,203.12,21.08,50.49,25.49,362.24,13.54,132.02,-295.08,197.19,61.38,70.69,38.93,64.66
96.27,307.25,70.31,48.73,37.52,182.39,13.69,258.35,-133.08,194.86,59.64,87.86,170.61,41.10
53.68,192.39,78.34,61.74,32.82,329.60,8.82,181.28,60.37,124.28,60.09,81.73,112.76,21.64
101.34,163.70,53.62,77.42,35.14,226.87,9.27,154.30,100.68,157.45,71.55,56.13,74.06,39.73
73.38,205.57,138.87,51.66,24.46,254.00,19.25,141.38,-3.84,241.51,76.16,100.00,37.85,46.53
66.17,323.99,83.54,43.00,97.81,226.56,16.24,152.97,-163.91,353.13,67.12,86.50,68.20,54.73
149.72,243.53,184.54,61.38,52.04,323.43,9.95,170.74,166.91,277.90,58.10,74.08,45.75,49.15
224.87,361.04,14.80,64.99,50.44,225.30,8.65,146.64,197.24,192.25,65.35,61.99,38.08,37.30
59.04,143.92,98.27,53.66,118.73,311.05,10.61,152.29,-122.28,202.74,64.36,86.91,50.59,34.95
92.28,322.56,32.67,82.03,31.64,316.17,8.27,223.61,-46.94,162.47,90.46,131.92,23.38,37.75
22.19,82.44,20.51,48.77,47.87,356.07,13.94,102.84,563.26,190.26,59.20,139.28,101.79,34.70
124.64,237.21,111.95,47.73,80.40,312.72,13.41,133.68,155.24,234.65,62.07,101.18,79.91,66.02
41.91,195.97,69.84,42.80,67.45,228.96,13.57,191.05,-270.84,331.93,59.95,63.55,32.91,43.19
144.29,124.19,57.94,70.19,81.65,529.41,9.42,172.10,-114.36,235.17,64.77,109.40,51.50,54.37
54.94,309.94,40.37,52.86,83.96,332.05,5.52,187.86,49.00,360.07,66.04,68.58,62.72,35.86
109.50,146.57,21.84,28.42,104.35,308.32,12.96,181.02,128.62,459.49,56.17,131.78,62.95,57.14
110.66,294.59,8.53,101.47,41.33,401.54,12.23,158.32,20.95,166.45,54.46,136.05,10.93,47.38
45.23,82.44,108.51,21.43,72.40,263.44,5.92,151.75,256.98,215.04,60.12,82.71,41.58,61.44
55.42,253.46,15.33,89.70,67.80,156.79,13.90,189.02,11.01,187.59,58.17,159.92,92.35,43.96
118.07,82.44,1.12,131.68,63.27,298.69,15.07,427.71,-246.74,207.65,94.40,62.77,79.70,29.46
87.17,131.74,36.92,84.97,75.24,197.91,23.01,207.63,-314.58,208.12,56.20,125.30,43.56,43.09
55.76,593.79,21.09,39.50,17.49,254.19,8.95,172.23,-117.13,320.58,87.17,104.16,41.28,29.88
22.91,109.52,91.26,30.37,64.63,766.26,9.44,170.84,224.96,226.38,61.12,100.78,27.82,38.42
75.09,285.62,-46.40,104.93,43.06,491.41,9.41,136.15,348.90,197.14,68.61,139.15,74.50,44.74
96.04,198.02,115.61,48.64,41.63,194.98,16.62,142.42,89.24,174.13,92.92,82.16,14.04,55.77
96.30,117.59,36.86,65.19,47.47,261.30,20.00,141.72,33.64,141.10,59.18,60.21,55.67,43.17
86.65,225.21,20.47,67.32,29.75,194.15,31.08,134.29,-15.34,151.44,66.31,95.33,27.03,65.30
64.12,362.66,86.91,117.69,40.73,290.33,11.46,160.79,80.31,117.29,61.08,175.80,88.42,54.80
48.72,350.44,124.05,109.35,60.71,336.38,8.51,191.95,-627.02,175.25,60.38,78.24,46.07,42.59
109.80,273.90,84.48,41.85,89.31,287.57,24.62,151.40,798.42,163.35,57.35,96.02,40.30,60.07
107.29,213.35,101.59,36.42,49.61,517.68,13.60,118.26,70.96,137.61,56.18,141.34,81.89,55.15
47.22,154.17,67.66,50.69,46.94,331.09,20.82,136.57,258.70,152.54,67.34,131.37,37.34,95.22
78.42,157.66,35.93,99.72,64.65,276.48,12.80,149.13,51.55,308.98,71.52,115.61,35.97,42.09
166.37,193.82,47.89,107.21,81.87,154.46,19.56,130.84,65.73,144.94,76.21,91.27,156.35,50.50
80.26,142.03,103.06,149.22,22.48,508.55,17.01,136.49,-125.22,228.90,60.19,130.87,84.90,41.59
38.20,255.76,59.89,137.08,51.82,483.32,9.94,209.94,-116.14,216.05,59.36,160.39,42.39,46.36
127.37,192.91,143.85,50.53,57.93,183.34,11.77,124.32,249.27,230.67,63.91,78.69,44.18,32.21
94.18,254.57,94.91,80.02,48.33,513.53,6.77,90.89,65.21,220.96,43.66,120.02,56.28,47.85
72.57,184.49,133.14,55.68,107.72,443.49,6.77,288.02,20.97,190.54,73.19,54.47,37.24,34.97
59.10,82.44,-3.28,81.11,34.03,335.14,8.53,107.47,152.75,258.19,64.95,109.75,59.34,36.05
122.13,109.07,38.26,59.82,24.42,340.13,20.75,206.11,-54.79,252.07,89.52,127.04,15.52,69.16
106.72,320.08,70.31,58.26,51.44,368.51,9.83,176.37,79.55,151.48,58.49,88.76,47.75,56.49
46.91,275.36,163.79,56.94,38.22,386.29,12.74,145.57,308.97,260.59,70.61,113.70,54.68,28.71
67.37,186.34,155.53,64.49,57.17,333.94,9.54,117.44,-98.63,206.88,55.63,66.07,98.29,41.63
56.50,164.57,77.50,15.44,72.61,345.82,17.28,166.19,152.58,160.43,57.17,72.12,37.48,58.52
75.83,153.43,169.18,99.19,51.68,341.57,29.66,113.79,-154.92,263.49,67.89,97.18,41.43,46.75
44.56,218.12,176.45,152.14,28.86,277.10,10.11,149.39,284.30,205.19,85.21,89.07,40.41,31.48
35.47,132.29,249.10,73.51,31.41,167.50,15.88,156.72,-21.75,360.32,55.54,55.87,43.23,60.91
168.42,136.56,64.07,64.44,36.45,537.26,16.70,136.55,-29.00,365.59,56.94,92.77,47.00,30.66
111.00,169.08,101.07,47.76,63.99,316.71,28.12,151.39,38.28,250.21,73.65,73.11,48.02,41.95
-17.95,251.67,88.48,44.40,75.27,243.49,8.02,190.93,-112.86,465.67,43.66,90.86,64.39,66.18
71.36,130.62,136.12,62.76,59.29,347.57,27.02,134.28,-514.35,149.37,64.73,69.69,38.48,48.69
88.27,182.72,63.95,41.33,76.18,330.95,7.61,103.79,160.76,212.35,71.53,61.12,40.85,65.88
47.53,283.14,40.45,95.08,49.20,361.06,14.82,125.41,-442.65,215.55,57.23,206.85,46.00,56.35
30.14,174.78,77.92,33.50,81.65,461.45,9.96,121.82,308.71,154.88,62.57,63.04,44.94,38.52
91.20,201.08,7.89,51.61,79.73,294.67,18.32,125.99,149.80,168.52,66.56,119.34,57.02,39.18
72.52,199.11,75.68,42.35,53.52,198.42,19.03,167.53,-68.87,226.49,65.29,64.80,20.24,41.03
25.91,298.85,17.46,59.72,53.17,325.68,10.85,139.62,-311.93,182.92,53.90,72.89,39.25,39.94
63.18,146.59,2.64,39.64,95.15,389.31,19.88,234.86,-86.43,251.23,95.53,101.95,80.93,29.19
106.08,199.22,36.49,73.84,60.46,241.95,10.55,134.76,-114.57,197.53,67.93,70.14,43.95,62.38
125.26,207.04,201.14,57.34,24.33,304.51,10.64,148.72,-259.55,113.35,43.66,93.20,50.90,65.47
130.93,186.96,37.51,119.36,73.78,477.97,17.53,169.80,-125.10,349.89,59.53,151.93,90.62,30.35
86.50,142.49,76.20,82.34,45.86,286.66,12.67,155.49,114.77,131.64,58.19,84.59,32.20,41.21
77.33,171.66,93.09,65.58,44.12,286.20,24.39,173.83,-258.04,342.66,58.52,89.27,80.44,39.94
83.52,139.14,97.31,71.06,86.50,294.07,21.15,163.57,-0.60,169.61,43.66,117.93,40.45,50.73
77.54,265.00,43.86,37.70,55.26,405.29,24.83,111.94,329.52,184.70,60.77,95.88,35.46,28.80
49.60,133.74,188.68,74.34,73.98,217.67,21.96,132.60,45.65,155.85,59.27,105.94,49.57,47.75
60.27,201.24,21.77,63.70,59.57,275.48,14.16,160.56,119.49,266.94,62.23,130.06,33.14,56.71
65.20,82.44,55.92,69.25,61.78,312.22,11.43,216.35,204.97,220.42,55.85,70.03,58.50,40.03
65.82,114.07,15.77,44.29,35.54,310.87,11.14,150.85,-533.55,159.57,63.69,119.29,34.49,49.85
119.04,124.23,63.30,61.49,49.95,194.27,14.91,236.65,-373.78,195.91,71.03,132.64,64.01,54.75
81.86,357.96,126.96,42.96,76.81,432.84,22.02,152.35,-257.29,218.66,64.64,96.74,43.86,64.25
88.35,255.91,167.74,34.89,55.66,423.34,5.84,198.06,-105.34,236.02,80.08,102.95,45.64,35.26
51.86,118.82,112.77,56.68,64.14,408.81,8.53,146.87,53.85,181.19,62.20,117.79,34.24,37.30
115.74,143.65,103.79,33.53,65.55,442.47,30.02,144.28,-715.14,658.57,79.65,94.19,55.56,38.16
54.72,362.55,148.08,52.03,69.43,429.14,4.24,107.59,-1037.07,97.02,63.71,81.59,62.75,56.84
72.61,158.72,51.31,59.18,41.57,274.39,25.26,152.60,-384.93,169.58,61.33,61.37,61.86,33.50
60.04,211.25,-22.46,56.67,55.78,432.94,6.57,105.12,40.43,384.14,67.41,74.85,42.01,55.98
65.35,300.94,180.19,128.15,53.50,125.47,7.53,261.53,62.35,221.35,71.74,139.84,64.63,57.12
31.66,203.03,94.38,98.30,30.58,353.01,14.16,157.43,135.58,221.10,53.13,57.78,46.69,47.69
120.25,123.00,-16.49,70.98,78.05,151.42,9.24,120.64,113.51,153.51,56.11,78.64,46.33,41.95
102.46,136.20,112.37,101.38,10.45,272.23,21.78,119.42,133.12,276.36,57.08,95.16,29.25,37.53
75.07,269.01,204.12,62.14,43.09,232.73,10.93,145.67,154.71,197.88,61.89,116.54,36.94,37.65
70.63,126.49,111.08,111.32,62.70,421.62,4.54,169.53,-45.95,330.79,65.57,98.20,68.26,45.06
85.99,192.71,138.80,58.28,61.36,391.11,10.84,148.77,191.48,153.40,53.21,70.42,52.54,27.16
50.29,124.58,32.74,45.83,33.82,461.11,10.02,179.31,-101.91,151.75,58.36,75.33,31.68,60.46
86.84,115.79,9.29,47.30,73.93,423.20,12.26,172.36,109.82,183.73,65.30,155.69,50.76,93.75
179.99,556.67,64.69,76.43,109.87,285.15,16.00,192.13,-75.68,179.28,58.67,80.14,71.37,34.89
71.92,195.14,181.04,25.80,80.60,408.04,12.42,149.53,187.38,206.66,63.13,128.33,35.20,67.44
122.10,197.97,50.46,72.42,43.50,361.00,8.67,143.20,121.20,147.90,60.18,62.32,87.56,40.68
36.84,127.45,102.43,43.95,99.14,433.07,15.42,137.87,108.57,236.02,62.84,83.04,100.04,31.78
96.01,161.55,62.54,76.74,41.06,493.37,7.04,170.16,12.09,227.82,69.95,124.69,132.55,44.55
88.07,254.71,239.49,57.96,26.95,468.10,30.84,165.46,-89.63,149.28,60.81,128.20,40.97,88.19
133.60,188.26,89.26,39.87,54.62,360.25,15.56,164.37,-468.92,214.96,64.17,63.18,59.59,70.89
36.06,269.04,37.92,75.97,28.88,303.68,13.04,164.02,161.32,220.18,99.65,77.98,36.74,28.10
113.57,251.04,51.99,75.03,46.29,419.15,12.99,205.10,78.71,175.27,58.80,157.89,49.53,70.15
52.16,375.08,44.76,51.35,46.33,270.90,9.58,145.41,733.11,201.54,73.48,121.51,46.30,32.79
74.11,112.57,41.86,85.86,95.61,596.14,17.89,154.12,141.11,148.50,65.63,165.22,34.40,37.77
98.18,146.76,27.11,73.43,100.36,337.60,24.12,186.33,88.17,229.18,55.76,79.65,39.48,40.68
89.71,163.53,49.71,71.14,64.39,298.17,16.96,204.15,-395.75,192.33,64.57,77.26,67.81,64.06
210.97,82.44,168.64,62.70,29.19,370.51,13.89,155.94,79.61,202.56,63.16,53.62,89.64,36.73
134.18,125.90,7.92,75.74,136.40,356.21,11.64,149.27,31.30,380.81,65.40,65.65,64.69,45.77
92.21,188.85,73.18,64.27,73.69,306.89,10.05,150.55,265.94,194.19,64.19,117.14,44.18,15.80
