AMZN,ALL,CBOE,COP,CVX,GS,IBKR,JPM,LLY,MET,PGR,SFM,TAC,XOM
16.62,135.18,-13.66,65.22,51.44,302.24,6.69,119.15,-143.05,464.25,73.86,33.73,84.30,31.71
139.92,122.84,37.26,89.41,80.90,346.62,20.29,188.20,-382.20,359.75,76.18,78.85,131.48,29.17
-37.53,165.07,-21.81,99.63,23.99,302.38,11.58,148.17,125.68,193.22,58.87,42.27,99.23,45.27
-28.42,140.20,38.09,55.17,11.25,225.65,15.67,181.15,12.74,116.22,91.56,40.20,87.46,67.91
32.30,319.83,49.59,56.87,52.58,334.30,20.02,156.40,-46.31,293.63,56.93,95.09,62.33,59.39
-7.76,136.73,71.40,59.50,70.99,298.68,15.10,138.66,-82.33,186.31,69.09,24.29,159.58,27.48
16.07,276.67,179.60,75.34,36.49,287.85,17.38,161.92,94.75,178.90,62.85,71.87,153.18,47.90
3.56,330.50,48.51,82.68,72.35,118.85,15.29,126.14,-367.58,218.49,58.42,47.47,73.05,69.04
46.23,213.29,18.80,70.41,70.93,206.13,12.55,243.66,-117.57,119.03,43.66,81.00,86.01,38.79
45.70,104.28,63.38,78.51,45.75,342.71,11.78,180.55,-88.07,403.53,68.92,50.27,51.30,54.67
-1.41,179.04,55.25,64.72,45.83,544.64,22.36,170.16,-113.48,322.13,56.12,28.18,65.33,43.88
-19.82,243.26,79.33,46.14,36.28,244.92,14.19,164.88,-150.23,214.93,60.48,42.29,96.83,70.23
13.55,200.00,127.14,65.40,65.37,452.56,7.66,107.17,-81.24,157.13,52.28,43.77,84.93,39.90
-30.40,155.64,18.23,27.04,64.93,160.28,13.52,190.86,-23.98,144.03,56.97,68.55,67.91,52.90
6.59,144.24,88.39,84.92,61.53,198.06,17.31,154.48,212.72,149.35,56.60,26.58,55.49,50.87
-67.99,82.44,1.81,52.67,50.65,297.86,11.35,116.32,158.96,198.19,68.57,51.90,333.23,50.84
84.05,82.44,73.86,44.98,44.36,291.02,10.45,125.04,106.60,266.17,43.66,34.89,43.75,28.37
21.11,212.35,173.10,69.84,44.64,501.34,6.05,176.17,248.32,173.52,57.27,72.90,110.45,44.17
-7.14,325.28,128.41,52.60,45.78,347.62,4.99,242.73,20.23,307.00,78.71,129.97,77.35,62.04
-10.83,127.54,-15.19,52.04,60.91,135.23,14.48,175.24,116.63,177.61,61.28,55.88,97.11,40.31
-1.53,166.93,17.81,96.90,80.87,335.58,7.75,136.55,15.70,240.30,67.99,26.29,66.57,63.55
23.79,295.14,9.73,62.60,45.19,253.97,12.26,142.99,-121.53,154.56,69.67,57.63,85.22,28.30
-13.95,145.31,34.30,60.01,34.83,467.39,6.31,176.79,157.75,190.59,103.11,26.71,112.67,22.28
34.99,140.67,55.40,50.36,65.51,391.44,6.08,160.57,119.94,169.79,43.66,70.78,110.39,44.69
-8.10,202.14,99.90,35.23,34.26,353.13,12.06,107.73,-280.41,143.95,58.02,48.91,78.52,32.64
-10.71,248.43,7.71,56.06,50.17,389.25,13.92,131.23,-380.68,257.24,67.45,79.62,88.86,34.07
15.75,124.86,40.18,89.37,26.73,200.27,20.38,171.60,51.05,222.83,58.80,106.81,106.53,39.88
26.76,332.92,-63.77,36.66,32.87,263.43,13.36,131.70,-480.46,364.88,60.72,108.87,87.58,65.40
47.36,169.84,36.59,59.55,66.89,191.82,13.84,148.81,-200.64,217.37,79.09,60.57,74.81,47.81
-78.97,257.08,21.41,69.59,50.21,351.63,12.98,163.00,7.24,200.70,91.51,27.19,28.86,63.18
52.60,228.05,36.94,43.54,85.18,361.18,12.75,207.78,-26.72,234.38,56.28,63.79,130.88,40.65
9.15,182.93,68.21,46.46,39.11,367.16,10.55,144.00,-328.68,176.86,65.43,79.70,184.75,52.22
-20.18,180.91,20.29,56.52,54.65,303.35,15.77,178.09,-109.41,241.82,67.72,26.63,131.50,84.32
-3.36,198.53,-7.77,108.59,34.91,237.38,12.38,189.76,-412.16,423.00,78.34,63.57,147.83,42.38
24.16,229.07,40.38,31.08,33.95,268.45,14.08,124.30,-42.36,184.14,71.96,32.08,71.88,78.87
-75.29,233.29,319.68,100.77,34.73,395.03,24.66,146.42,248.55,327.32,54.54,63.07,118.06,12.14
-21.63,315.39,76.03,41.61,62.74,297.09,12.69,140.07,-20.61,191.06,72.56,70.36,104.28,24.30
-11.83,450.56,109.57,57.88,64.32,400.73,13.50,128.77,-267.72,250.34,66.50,44.96,98.41,45.33
-22.27,221.87,72.05,57.31,18.98,330.70,12.22,207.61,-328.97,153.88,72.58,51.55,61.14,45.81
6.79,196.20,24.18,47.57,51.23,339.07,11.39,120.90,-57.04,249.92,60.63,22.78,100.24,36.72
-3.18,82.44,38.90,44.59,26.65,352.17,13.64,133.84,-219.07,164.43,66.41,54.81,133.99,29.28
-22.37,122.85,54.11,59.06,62.45,349.78,16.93,176.19,-76.36,303.21,62.59,42.39,38.78,35.26
44.55,82.44,28.94,87.69,39.20,272.23,11.80,150.34,-239.69,244.43,43.66,49.02,70.72,55.27
-66.65,169.30,36.78,45.05,60.07,207.52,16.96,130.23,92.77,108.69,69.35,25.36,88.77,56.59
-2.24,174.07,49.10,74.32,36.48,322.09,13.78,196.98,15.42,190.75,77.79,132.28,110.01,22.94
35.09,161.18,68.48,92.09,67.52,262.44,13.46,181.88,-28.73,212.04,63.57,57.06,70.32,29.42
-5.22,353.71,28.38,141.12,41.40,190.39,15.30,167.77,-124.07,167.83,116.32,46.58,110.35,64.07
4.23,133.04,62.24,63.19,90.50,352.38,11.63,169.46,2.63,228.43,59.91,73.13,69.96,50.91
-11.69,127.40,65.10,72.65,34.44,333.98,19.27,74.57,-259.17,165.58,43.66,148.96,120.39,34.05
-16.90,185.29,60.55,39.78,30.39,474.36,22.78,150.65,-61.00,203.42,75.72,39.65,57.69,58.32
70.92,245.08,65.18,83.05,68.18,452.82,13.51,130.86,-227.23,137.70,59.71,47.32,72.81,64.09
58.89,157.21,99.75,70.31,18.76,241.69,4.94,150.17,71.77,185.89,63.77,60.11,52.64,40.55
-17.22,145.71,5.91,52.66,67.60,407.90,6.84,155.67,31.62,173.21,64.75,41.02,142.07,31.50
-4.36,251.38,31.04,63.36,58.20,353.86,12.99,177.69,-35.81,177.39,43.66,31.06,74.52,57.12
29.97,190.32,12.73,53.04,58.51,358.71,8.34,144.90,-235.16,154.10,73.47,83.39,23.21,65.19
29.06,120.14,-41.35,68.48,69.58,305.16,11.76,179.78,-91.48,332.04,65.21,48.01,15.27,22.24
-17.03,276.58,124.50,54.45,85.95,331.11,11.47,138.64,148.31,228.86,60.01,53.56,506.40,24.19
-38.73,260.78,26.03,115.61,54.49,329.37,9.49,174.21,-91.69,224.91,61.17,71.40,59.71,56.74
40.60,163.25,61.26,41.66,105.21,343.58,15.58,125.30,-172.86,164.32,66.06,43.31,99.67,39.47
35.10,203.12,1.03,50.49,25.49,362.24,13.54,132.02,123.15,197.19,61.38,66.59,56.73,64.66
-17.56,307.25,64.12,48.73,37.52,182.39,13.69,258.35,11.27,194.86,59.64,61.39,61.63,41.10
5.55,192.39,67.45,61.74,32.82,329.60,8.82,181.28,-344.68,124.28,60.09,26.97,14.25,21.64
-14.71,163.70,37.37,77.42,35.14,226.87,9.27,154.30,20.04,157.45,71.55,39.59,51.84,39.73
4.31,205.57,24.08,51.66,24.46,254.00,19.25,141.38,-124.70,241.51,76.16,34.93,127.46,46.53
-42.21,323.99,7.93,43.00,97.81,226.56,16.24,152.97,193.87,353.13,67.12,107.64,48.37,54.73
50.87,243.53,98.54,61.38,52.04,323.43,9.95,170.74,-28.06,277.90,58.10,72.16,26.62,49.15
-8.81,361.04,17.35,64.99,50.44,225.30,8.65,146.64,40.33,192.25,65.35,47.08,67.95,37.30
23.67,143.92,-0.97,53.66,118.73,311.05,10.61,152.29,-61.62,202.74,64.36,115.75,94.08,34.95
10.83,322.56,-5.40,82.03,31.64,316.17,8.27,223.61,15.44,162.47,90.46,65.66,105.41,37.75
43.72,82.44,9.23,48.77,47.87,356.07,13.94,102.84,63.49,190.26,59.20,100.98,147.54,34.70
27.81,237.21,16.60,47.73,80.40,312.72,13.41,133.68,2.21,234.65,62.07,72.40,74.42,66.02
-39.22,195.97,59.45,42.80,67.45,228.96,13.57,191.05,-654.67,331.93,59.95,57.74,103.60,43.19
22.23,124.19,130.12,70.19,81.65,529.41,9.42,172.10,19.21,235.17,64.77,113.27,124.99,54.37
44.06,309.94,35.42,52.86,83.96,332.05,5.52,187.86,108.94,360.07,66.04,27.93,134.62,35.86
32.92,146.57,9.07,28.42,104.35,308.32,12.96,181.02,112.46,459.49,56.17,58.63,180.05,57.14
66.78,294.59,42.71,101.47,41.33,401.54,12.23,158.32,-1.05,166.45,54.46,55.11,62.42,47.38
74.34,82.44,13.00,21.43,72.40,263.44,5.92,151.75,-13.44,215.04,60.12,90.78,178.55,61.44
57.95,253.46,6.38,89.70,67.80,156.79,13.90,189.02,-7.28,187.59,58.17,68.76,85.97,43.96
3.76,82.44,34.25,131.68,63.27,298.69,15.07,427.71,115.95,207.65,94.40,28.93,7.20,29.46
7.40,131.74,-24.58,84.97,75.24,197.91,23.01,207.63,-212.83,208.12,56.20,59.11,66.96,43.09
21.59,593.79,77.13,39.50,17.49,254.19,8.95,172.23,-277.12,320.58,87.17,99.03,116.60,29.88
-84.01,109.52,130.47,30.37,64.63,766.26,9.44,170.84,-130.60,226.38,61.12,54.14,118.11,38.42
14.00,285.62,66.38,104.93,43.06,491.41,9.41,136.15,-405.10,197.14,68.61,44.79,80.33,44.74
